1,larva,-,Zamora-Chinchipe,Nectivoro,X,VIVA
2,larva,-,Chimborazo,Nectivoro,X,VIVA
3,larva,-,Zamora-Chinchipe,Nectivoro,X,VIVA
4,larva,-,Orellana,Nectivoro,X,VIVA
5,larva,-,El Oro,Nectivoro,X,VIVA
6,larva,-,El Oro,Nectivoro,X,VIVA
7,larva,-,Guayas,Nectivoro,X,VIVA
8,larva,-,Morona Santiago,Nectivoro,X,VIVA
9,larva,-,Chimborazo,Nectivoro,X,VIVA
10,larva,-,Santo Domingo de los Tsáchilas,Nectivoro,X,VIVA
11,larva,-,El Oro,Nectivoro,X,VIVA
12,larva,-,Cañar,Nectivoro,X,VIVA
13,larva,-,Zamora-Chinchipe,Nectivoro,X,VIVA
14,larva,-,Tungurahua,Nectivoro,X,VIVA
15,larva,-,Tungurahua,Nectivoro,X,VIVA
16,larva,-,Zamora-Chinchipe,Nectivoro,X,VIVA
17,larva,-,El Oro,Nectivoro,X,VIVA
